OID_,bouguer,X,Y,mag,bedmachine,roughness,beta,water,reflectivity
1,0,-1514792.117712546139956,-885843.443294160882942,74.7451172,-202.9403381,555.2785645,9.6290512,,
2,-7,-1504814.131640260107815,-885843.443294160882942,75.9592133,-316.6042786,1083.5458984,8.2730913,,
3,9,-1494836.145567973610014,-885843.443294160882942,76.6307220,-491.6407471,499.7757263,8.2670927,,
4,15,-1484858.159495687577873,-885843.443294160882942,76.7630463,-588.0885010,99.3728333,8.1780233,,
5,9,-1474880.173423401080072,-885843.443294160882942,76.2414093,-595.8025513,14.1758509,8.5902224,,
6,9,-1464902.187351114815101,-885843.443294160882942,75.0753326,-559.6712036,421.7926941,8.0252428,,
7,-1,-1454924.201278828550130,-885843.443294160882942,73.2881317,-928.9364624,1925.6844482,3.4699733,,
8,5,-1444946.215206542285159,-885843.443294160882942,70.8808517,-995.4996338,720.9154053,2.3941624,,
9,12,-1434968.229134256020188,-885843.443294160882942,67.7411041,-944.7763062,130.3726044,2.7412770,,
10,0,-1424990.243061969755217,-885843.443294160882942,63.8711052,-954.2420044,602.5213013,2.8876529,,
11,4,-1415012.256989683490247,-885843.443294160882942,59.3124275,-767.2338867,295.8709717,3.1322396,,
12,9,-1405034.270917397225276,-885843.443294160882942,54.0671349,-804.9761963,723.9155884,10.1071787,0.0031689,
13,-1,-1395056.284845110960305,-885843.443294160882942,48.1536102,-671.7563477,107.0406113,10.1670198,0.2101471,
14,-1,-1385078.298772824695334,-885843.443294160882942,41.5727921,-393.7423096,39.3136215,10.7290354,0.0644518,
15,-22,-1375100.312700538430363,-885843.443294160882942,34.4152184,-209.7813110,2107.5351562,11.7861614,0.0105598,
16,-22,-1365122.326628252165392,-885843.443294160882942,26.6732826,68.0619354,92.3547745,12.1077356,0.0062771,
17,-39,-1355144.340555965900421,-885843.443294160882942,16.2049503,1.6148456,106.3466110,11.4121675,0.0063378,
18,-38,-1345166.354483679635450,-885843.443294160882942,34.0315742,21.2538643,256.6489868,11.3818083,0.0036960,
19,-19,-1335188.368411393370479,-885843.443294160882942,-15.7013121,173.3738861,1735.4342041,11.7832718,0.0772955,
20,-4,-1325210.382339106872678,-885843.443294160882942,-43.4995422,100.2709808,10.8998795,12.6602478,0.0506321,
21,0,-1315232.396266820840538,-885843.443294160882942,-6.5018153,222.7073212,55.5534172,12.5021315,0.0068339,
22,-2,-1305254.410194534342736,-885843.443294160882942,8.2355566,252.8398895,26.9746151,12.3959589,0.0147155,
23,-17,-1295276.424122248310596,-885843.443294160882942,2.6401331,341.7930908,231.8318634,12.9658718,0.0059788,
24,-6,-606795.385134495096281,-885843.443294160882942,,,,,0.0030674,
25,-4,-606795.385134495096281,-895821.429366447147913,,,,,0.0000000,
26,2,-606795.385134495096281,-905799.415438733296469,,,,,0.0000000,
27,11,-606795.385134495096281,-915777.401511019561440,,,,,0.0000000,
28,7,-606795.385134495096281,-925755.387583306059241,,,,,0.0007751,
29,-6,-606795.385134495096281,-935733.373655592324212,,,,,0.0031689,
30,-13,-606795.385134495096281,-945711.359727878589183,,,,,0.0031689,
31,-1,-606795.385134495096281,-955689.345800164854154,,,,,0.0031689,
32,0,-606795.385134495096281,-965667.331872451119125,,,,,0.0031689,
33,3,-606795.385134495096281,-975645.317944737384096,,,,,0.0031689,
34,4,-606795.385134495096281,-985623.304017023649067,,,,,0.0000000,
35,3,-606795.385134495096281,-995601.290089309914038,,,,,0.0031689,
36,5,-606795.385134495096281,-1005579.276161596179008,,,,,0.0027933,
37,6,-606795.385134495096281,-1015557.262233882443979,,,,,0.0045734,
38,-38,-606795.385134495096281,-1025535.248306168708950,,,,,0.4941304,
39,-48,-606795.385134495096281,-1035513.234378454973921,,,,,0.0645661,
40,-32,-606795.385134495096281,-1045491.220450741238892,,,,,0.0314702,
41,-23,-606795.385134495096281,-1055469.206523027503863,,,,,0.0066819,
42,-18,-606795.385134495096281,-1065447.192595313768834,,,,,0.0178772,
43,-11,-606795.385134495096281,-1075425.178667600033805,,,,,0.0000000,
44,-23,-606795.385134495096281,-1085403.164739886298776,,,,,0.0000000,
45,-12,-606795.385134495096281,-1095381.150812172563747,,,,,0.0000000,
46,-17,-606795.385134495096281,-1105359.136884458828717,,,,,0.0000000,
47,-15,-606795.385134495096281,-1115337.122956745093688,,,,,0.0000000,
48,-38,-606795.385134495096281,-1125315.109029031358659,,,,,0.0000000,
49,-17,-606795.385134495096281,-1135293.095101317856461,,,,,0.0000000,
50,-32,-606795.385134495096281,-1145271.081173604121432,,,,,0.0000000,
51,-24,-616773.371206781361252,-1155249.067245890386403,,,,,0.0000000,
52,-37,-606795.385134495096281,-1155249.067245890386403,,,,,0.0000000,
53,-12,-616773.371206781361252,-1165227.053318176651374,,,,,0.0000000,
54,-25,-606795.385134495096281,-1165227.053318176651374,,,,,0.0000000,
55,-30,-616773.371206781361252,-1175205.039390462916344,,,,,0.0000000,
56,-26,-606795.385134495096281,-1175205.039390462916344,,,,,0.0000000,
57,-60,-616773.371206781361252,-1185183.025462749181315,,,,,0.0000000,
58,-55,-606795.385134495096281,-1185183.025462749181315,,,,,0.0000000,
59,-51,-616773.371206781361252,-1195161.011535035446286,,,,,0.0000000,
60,-53,-606795.385134495096281,-1195161.011535035446286,,,,,0.0000000,
61,-33,-616773.371206781361252,-1205138.997607321711257,,,,,0.0030691,
62,-28,-606795.385134495096281,-1205138.997607321711257,,,,,0.0000000,
63,-34,-616773.371206781361252,-1215116.983679607976228,,,,,0.0031689,
64,-44,-606795.385134495096281,-1215116.983679607976228,,,,,0.0000000,
65,-24,-616773.371206781361252,-1225094.969751894241199,,,,,,
66,-86,-606795.385134495096281,-1225094.969751894241199,,,,,0.0000616,
67,-42,-616773.371206781361252,-1235072.955824180506170,,,,,0.0000000,
68,-55,-606795.385134495096281,-1235072.955824180506170,,,,,0.0031689,
69,-52,-616773.371206781361252,-1245050.941896466771141,,,,,0.0031689,
70,-3,-596817.399062208831310,-885843.443294160882942,,,,,0.0068258,
71,-5,-586839.412989922566339,-885843.443294160882942,,,,,0.0457917,
72,-6,-576861.426917636301368,-885843.443294160882942,,,,,0.0000000,
73,-5,-566883.440845350036398,-885843.443294160882942,,,,,0.0026728,
74,-1,-556905.454773063771427,-885843.443294160882942,,,,,0.0029162,
75,-1,-546927.468700777506456,-885843.443294160882942,,,,,0.0002298,
76,-10,-536949.482628491241485,-885843.443294160882942,,,,,0.0000000,
77,-3,-526971.496556204976514,-885843.443294160882942,,,,,0.0000903,
78,-1,-516993.510483918711543,-885843.443294160882942,,,,,,
79,1,-507015.524411632446572,-885843.443294160882942,,,,,,
80,0,-497037.538339346181601,-885843.443294160882942,,,,,,
81,-7,-487059.552267059916630,-885843.443294160882942,,,,,,
82,-1,-477081.566194773651659,-885843.443294160882942,,,,,,
83,0,-467103.580122487386689,-885843.443294160882942,,,,,,
84,0,-457125.594050201121718,-885843.443294160882942,,,,,,
85,0,-447147.607977914856747,-885843.443294160882942,,,,,,
86,-1,-437169.621905628591776,-885843.443294160882942,,,,,,
87,-2,-427191.635833342093974,-885843.443294160882942,,,,,,
88,-1,-417213.649761055829003,-885843.443294160882942,,,,,,
89,-1,-407235.663688769564033,-885843.443294160882942,,,,,,
90,-3,-397257.677616483299062,-885843.443294160882942,,,,,,
91,-6,-387279.691544197034091,-885843.443294160882942,,,,,,
92,-5,-377301.705471910769120,-885843.443294160882942,,,,,,
93,-1,-367323.719399624504149,-885843.443294160882942,,,,,,
94,-1,-357345.733327338239178,-885843.443294160882942,,,,,,
95,0,-347367.747255051974207,-885843.443294160882942,,,,,,
96,1,-337389.761182765709236,-885843.443294160882942,,,,,,
97,1,-327411.775110479444265,-885843.443294160882942,,,,,,
98,0,-317433.789038193179294,-885843.443294160882942,,,,,,
99,-1,-307455.802965906914324,-885843.443294160882942,,,,,,
100,-2,-297477.816893620649353,-885843.443294160882942,,,,,,
101,-5,-287499.830821334384382,-885843.443294160882942,,,,,,
102,-7,-277521.844749048119411,-885843.443294160882942,,,,,,
103,-8,-596817.399062208831310,-895821.429366447147913,,,,,0.0026030,
104,2,-586839.412989922566339,-895821.429366447147913,,,,,0.0892805,
105,1,-576861.426917636301368,-895821.429366447147913,,,,,0.1179835,
106,-3,-566883.440845350036398,-895821.429366447147913,,,,,0.0022635,
107,0,-556905.454773063771427,-895821.429366447147913,,,,,0.0023569,
108,0,-546927.468700777506456,-895821.429366447147913,,,,,0.0024142,
109,-2,-536949.482628491241485,-895821.429366447147913,,,,,0.0000000,
110,-2,-526971.496556204976514,-895821.429366447147913,,,,,0.0000000,
111,-1,-516993.510483918711543,-895821.429366447147913,,,,,0.0000000,
112,3,-507015.524411632446572,-895821.429366447147913,,,,,,
113,2,-497037.538339346181601,-895821.429366447147913,,,,,,
114,-7,-487059.552267059916630,-895821.429366447147913,,,,,,
115,-5,-477081.566194773651659,-895821.429366447147913,,,,,,
116,-3,-467103.580122487386689,-895821.429366447147913,,,,,,
117,-3,-457125.594050201121718,-895821.429366447147913,,,,,,
118,-4,-447147.607977914856747,-895821.429366447147913,,,,,,
119,-4,-437169.621905628591776,-895821.429366447147913,,,,,,
120,-4,-427191.635833342093974,-895821.429366447147913,,,,,,
121,-4,-417213.649761055829003,-895821.429366447147913,,,,,,
122,-3,-407235.663688769564033,-895821.429366447147913,,,,,,
123,-1,-397257.677616483299062,-895821.429366447147913,,,,,,
124,-1,-387279.691544197034091,-895821.429366447147913,,,,,,
125,-1,-377301.705471910769120,-895821.429366447147913,,,,,,
126,0,-367323.719399624504149,-895821.429366447147913,,,,,,
127,0,-357345.733327338239178,-895821.429366447147913,,,,,,
128,0,-347367.747255051974207,-895821.429366447147913,,,,,,
129,1,-337389.761182765709236,-895821.429366447147913,,,,,,
130,1,-327411.775110479444265,-895821.429366447147913,,,,,,
131,1,-317433.789038193179294,-895821.429366447147913,,,,,,
132,0,-307455.802965906914324,-895821.429366447147913,,,,,,
133,-2,-297477.816893620649353,-895821.429366447147913,,,,,,
134,-4,-287499.830821334384382,-895821.429366447147913,,,,,,
135,-9,-277521.844749048119411,-895821.429366447147913,,,,,,
136,-5,-596817.399062208831310,-905799.415438733296469,,,,,0.0004626,
137,2,-586839.412989922566339,-905799.415438733296469,,,,,0.0066425,
138,10,-576861.426917636301368,-905799.415438733296469,,,,,0.0027298,
139,2,-566883.440845350036398,-905799.415438733296469,,,,,0.0000000,
140,4,-556905.454773063771427,-905799.415438733296469,,,,,0.0000000,
141,2,-546927.468700777506456,-905799.415438733296469,,,,,0.0399675,
142,-3,-536949.482628491241485,-905799.415438733296469,,,,,0.0000000,
143,-4,-526971.496556204976514,-905799.415438733296469,,,,,0.0025333,
144,-2,-516993.510483918711543,-905799.415438733296469,,,,,0.0000000,
145,4,-507015.524411632446572,-905799.415438733296469,,,,,,
146,1,-497037.538339346181601,-905799.415438733296469,,,,,,
147,-2,-487059.552267059916630,-905799.415438733296469,,,,,,
148,-6,-477081.566194773651659,-905799.415438733296469,,,,,,
149,-4,-467103.580122487386689,-905799.415438733296469,,,,,,
150,-5,-457125.594050201121718,-905799.415438733296469,,,,,,
151,-5,-447147.607977914856747,-905799.415438733296469,,,,,,
152,-5,-437169.621905628591776,-905799.415438733296469,,,,,,
153,-4,-427191.635833342093974,-905799.415438733296469,,,,,,
154,-4,-417213.649761055829003,-905799.415438733296469,,,,,,
155,-2,-407235.663688769564033,-905799.415438733296469,,,,,,
156,0,-397257.677616483299062,-905799.415438733296469,,,,,,
157,0,-387279.691544197034091,-905799.415438733296469,,,,,,
158,2,-377301.705471910769120,-905799.415438733296469,,,,,,
159,3,-367323.719399624504149,-905799.415438733296469,,,,,,
160,4,-357345.733327338239178,-905799.415438733296469,,,,,,
161,4,-347367.747255051974207,-905799.415438733296469,,,,,,
162,4,-337389.761182765709236,-905799.415438733296469,,,,,,
163,5,-327411.775110479444265,-905799.415438733296469,,,,,,
164,4,-317433.789038193179294,-905799.415438733296469,,,,,,
165,2,-307455.802965906914324,-905799.415438733296469,,,,,,
166,0,-297477.816893620649353,-905799.415438733296469,,,,,,
167,-2,-287499.830821334384382,-905799.415438733296469,,,,,,
168,-8,-277521.844749048119411,-905799.415438733296469,,,,,,
169,2,-596817.399062208831310,-915777.401511019561440,,,,,0.0000000,
170,2,-586839.412989922566339,-915777.401511019561440,,,,,0.0024635,
171,6,-576861.426917636301368,-915777.401511019561440,,,,,,
172,5,-566883.440845350036398,-915777.401511019561440,,,,,0.0000000,
173,5,-556905.454773063771427,-915777.401511019561440,,,,,0.0031689,
174,0,-546927.468700777506456,-915777.401511019561440,,,,,0.0000000,
175,-4,-526971.496556204976514,-915777.401511019561440,,,,,0.0000000,
176,0,-516993.510483918711543,-915777.401511019561440,,,,,,
177,0,-507015.524411632446572,-915777.401511019561440,,,,,,
178,2,-497037.538339346181601,-915777.401511019561440,,,,,,
179,2,-487059.552267059916630,-915777.401511019561440,,,,,,
180,-1,-477081.566194773651659,-915777.401511019561440,,,,,,
181,-3,-467103.580122487386689,-915777.401511019561440,,,,,,
182,-5,-457125.594050201121718,-915777.401511019561440,,,,,,
183,-6,-447147.607977914856747,-915777.401511019561440,,,,,,
184,-6,-437169.621905628591776,-915777.401511019561440,,,,,,
185,-5,-427191.635833342093974,-915777.401511019561440,,,,,,
186,-3,-417213.649761055829003,-915777.401511019561440,,,,,,
187,-1,-407235.663688769564033,-915777.401511019561440,,,,,,
188,0,-397257.677616483299062,-915777.401511019561440,,,,,,
189,1,-387279.691544197034091,-915777.401511019561440,,,,,,
190,3,-377301.705471910769120,-915777.401511019561440,,,,,,
191,5,-367323.719399624504149,-915777.401511019561440,,,,,,
192,7,-357345.733327338239178,-915777.401511019561440,,,,,,
193,7,-347367.747255051974207,-915777.401511019561440,,,,,,
194,7,-337389.761182765709236,-915777.401511019561440,,,,,,
195,7,-327411.775110479444265,-915777.401511019561440,,,,,,
196,6,-317433.789038193179294,-915777.401511019561440,,,,,,
197,5,-307455.802965906914324,-915777.401511019561440,,,,,,
198,2,-297477.816893620649353,-915777.401511019561440,,,,,,
199,0,-287499.830821334384382,-915777.401511019561440,,,,,,
200,-4,-277521.844749048119411,-915777.401511019561440,,,,,,
201,4,-596817.399062208831310,-925755.387583306059241,,,,,0.0000000,
202,3,-586839.412989922566339,-925755.387583306059241,,,,,,
203,7,-576861.426917636301368,-925755.387583306059241,,,,,,
204,10,-566883.440845350036398,-925755.387583306059241,,,,,,
205,11,-556905.454773063771427,-925755.387583306059241,,,,,,
206,6,-546927.468700777506456,-925755.387583306059241,,,,,0.0000000,
207,3,-516993.510483918711543,-925755.387583306059241,,,,,,
208,2,-507015.524411632446572,-925755.387583306059241,,,,,,
209,3,-497037.538339346181601,-925755.387583306059241,,,,,,
210,4,-487059.552267059916630,-925755.387583306059241,,,,,,
211,0,-477081.566194773651659,-925755.387583306059241,,,,,,
212,-3,-467103.580122487386689,-925755.387583306059241,,,,,,
213,-6,-457125.594050201121718,-925755.387583306059241,,,,,,
214,-7,-447147.607977914856747,-925755.387583306059241,,,,,,
215,-8,-437169.621905628591776,-925755.387583306059241,,,,,,
216,-7,-427191.635833342093974,-925755.387583306059241,,,,,,
217,-5,-417213.649761055829003,-925755.387583306059241,,,,,,
218,-2,-407235.663688769564033,-925755.387583306059241,,,,,,
219,0,-397257.677616483299062,-925755.387583306059241,,,,,,
220,2,-387279.691544197034091,-925755.387583306059241,,,,,,
221,6,-377301.705471910769120,-925755.387583306059241,,,,,,
222,8,-367323.719399624504149,-925755.387583306059241,,,,,,
223,9,-357345.733327338239178,-925755.387583306059241,,,,,,
224,10,-347367.747255051974207,-925755.387583306059241,,,,,,
225,9,-337389.761182765709236,-925755.387583306059241,,,,,,
226,9,-327411.775110479444265,-925755.387583306059241,,,,,,
227,8,-317433.789038193179294,-925755.387583306059241,,,,,,
228,7,-307455.802965906914324,-925755.387583306059241,,,,,,
229,4,-297477.816893620649353,-925755.387583306059241,,,,,,
230,1,-287499.830821334384382,-925755.387583306059241,,,,,,
231,-1,-277521.844749048119411,-925755.387583306059241,,,,,,
232,5,-596817.399062208831310,-935733.373655592324212,,,,,0.0000000,
