,OID_,bouguer,X,Y,mag,bedmachine,roughness,beta,water,reflectivity,predicted_class
0,1,0,-1514792.117712546,-885843.443294161,74.7451172,-202.9403381,555.2785645,9.6290512,,,0
1,2,-7,-1504814.13164026,-885843.443294161,75.9592133,-316.6042786,1083.5458984,8.2730913,,,0
2,3,9,-1494836.1455679736,-885843.443294161,76.630722,-491.6407471,499.7757263,8.2670927,,,0
3,4,15,-1484858.1594956876,-885843.443294161,76.7630463,-588.088501,99.3728333,8.1780233,,,0
4,5,9,-1474880.173423401,-885843.443294161,76.2414093,-595.8025513,14.1758509,8.5902224,,,0
5,6,9,-1464902.1873511148,-885843.443294161,75.0753326,-559.6712036,421.7926941,8.0252428,,,0
6,7,-1,-1454924.2012788283,-885843.443294161,73.2881317,-928.9364624,1925.6844482,3.4699733,,,1
7,8,5,-1444946.2152065423,-885843.443294161,70.8808517,-995.4996338,720.9154053,2.3941624,,,1
8,9,12,-1434968.229134256,-885843.443294161,67.7411041,-944.7763062,130.3726044,2.741277,,,1
9,10,0,-1424990.2430619695,-885843.443294161,63.8711052,-954.2420044,602.5213013,2.8876529,,,1
10,11,4,-1415012.2569896835,-885843.443294161,59.3124275,-767.2338867,295.8709717,3.1322396,,,0
11,12,9,-1405034.2709173972,-885843.443294161,54.0671349,-804.9761963,723.9155884,10.1071787,0.0031689,,0
12,13,-1,-1395056.2848451107,-885843.443294161,48.1536102,-671.7563477,107.0406113,10.1670198,0.2101471,,0
13,14,-1,-1385078.2987728247,-885843.443294161,41.5727921,-393.7423096,39.3136215,10.7290354,0.0644518,,0
14,15,-22,-1375100.3127005384,-885843.443294161,34.4152184,-209.781311,2107.5351562,11.7861614,0.0105598,,0
15,16,-22,-1365122.326628252,-885843.443294161,26.6732826,68.0619354,92.3547745,12.1077356,0.0062771,,0
16,17,-39,-1355144.340555966,-885843.443294161,16.2049503,1.6148456,106.346611,11.4121675,0.0063378,,0
17,18,-38,-1345166.3544836796,-885843.443294161,34.0315742,21.2538643,256.6489868,11.3818083,0.003696,,0
18,19,-19,-1335188.3684113931,-885843.443294161,-15.7013121,173.3738861,1735.4342041,11.7832718,0.0772955,,0
19,20,-4,-1325210.3823391069,-885843.443294161,-43.4995422,100.2709808,10.8998795,12.6602478,0.0506321,,0
20,21,0,-1315232.3962668208,-885843.443294161,-6.5018153,222.7073212,55.5534172,12.5021315,0.0068339,,0
21,22,-2,-1305254.4101945343,-885843.443294161,8.2355566,252.8398895,26.9746151,12.3959589,0.0147155,,0
22,23,-17,-1295276.4241222483,-885843.443294161,2.6401331,341.7930908,231.8318634,12.9658718,0.0059788,,0
23,24,-6,-606795.3851344951,-885843.443294161,,,,,0.0030674,,0
24,25,-4,-606795.3851344951,-895821.429366447,,,,,0.0,,0
25,26,2,-606795.3851344951,-905799.4154387333,,,,,0.0,,0
26,27,11,-606795.3851344951,-915777.4015110196,,,,,0.0,,0
27,28,7,-606795.3851344951,-925755.387583306,,,,,0.0007751,,0
28,29,-6,-606795.3851344951,-935733.3736555923,,,,,0.0031689,,0
29,30,-13,-606795.3851344951,-945711.3597278784,,,,,0.0031689,,0
30,31,-1,-606795.3851344951,-955689.3458001649,,,,,0.0031689,,0
31,32,0,-606795.3851344951,-965667.3318724512,,,,,0.0031689,,0
32,33,3,-606795.3851344951,-975645.3179447373,,,,,0.0031689,,0
33,34,4,-606795.3851344951,-985623.3040170236,,,,,0.0,,0
34,35,3,-606795.3851344951,-995601.29008931,,,,,0.0031689,,0
35,36,5,-606795.3851344951,-1005579.276161596,,,,,0.0027933,,0
36,37,6,-606795.3851344951,-1015557.2622338824,,,,,0.0045734,,0
37,38,-38,-606795.3851344951,-1025535.2483061688,,,,,0.4941304,,0
38,39,-48,-606795.3851344951,-1035513.2343784549,,,,,0.0645661,,0
39,40,-32,-606795.3851344951,-1045491.2204507412,,,,,0.0314702,,0
40,41,-23,-606795.3851344951,-1055469.2065230275,,,,,0.0066819,,0
41,42,-18,-606795.3851344951,-1065447.1925953135,,,,,0.0178772,,0
42,43,-11,-606795.3851344951,-1075425.1786676,,,,,0.0,,0
43,44,-23,-606795.3851344951,-1085403.1647398863,,,,,0.0,,0
44,45,-12,-606795.3851344951,-1095381.1508121723,,,,,0.0,,0
45,46,-17,-606795.3851344951,-1105359.1368844588,,,,,0.0,,0
46,47,-15,-606795.3851344951,-1115337.122956745,,,,,0.0,,0
47,48,-38,-606795.3851344951,-1125315.1090290311,,,,,0.0,,0
48,49,-17,-606795.3851344951,-1135293.0951013179,,,,,0.0,,0
49,50,-32,-606795.3851344951,-1145271.081173604,,,,,0.0,,0
50,51,-24,-616773.3712067814,-1155249.0672458904,,,,,0.0,,0
51,52,-37,-606795.3851344951,-1155249.0672458904,,,,,0.0,,0
52,53,-12,-616773.3712067814,-1165227.0533181767,,,,,0.0,,0
53,54,-25,-606795.3851344951,-1165227.0533181767,,,,,0.0,,0
54,55,-30,-616773.3712067814,-1175205.039390463,,,,,0.0,,0
55,56,-26,-606795.3851344951,-1175205.039390463,,,,,0.0,,0
56,57,-60,-616773.3712067814,-1185183.0254627492,,,,,0.0,,0
57,58,-55,-606795.3851344951,-1185183.0254627492,,,,,0.0,,0
58,59,-51,-616773.3712067814,-1195161.0115350354,,,,,0.0,,0
59,60,-53,-606795.3851344951,-1195161.0115350354,,,,,0.0,,0
60,61,-33,-616773.3712067814,-1205138.9976073217,,,,,0.0030691,,0
61,62,-28,-606795.3851344951,-1205138.9976073217,,,,,0.0,,0
62,63,-34,-616773.3712067814,-1215116.983679608,,,,,0.0031689,,0
63,64,-44,-606795.3851344951,-1215116.983679608,,,,,0.0,,0
64,65,-24,-616773.3712067814,-1225094.9697518942,,,,,,,0
65,66,-86,-606795.3851344951,-1225094.9697518942,,,,,6.16e-05,,0
66,67,-42,-616773.3712067814,-1235072.9558241805,,,,,0.0,,0
67,68,-55,-606795.3851344951,-1235072.9558241805,,,,,0.0031689,,0
68,69,-52,-616773.3712067814,-1245050.9418964668,,,,,0.0031689,,0
69,70,-3,-596817.3990622088,-885843.443294161,,,,,0.0068258,,0
70,71,-5,-586839.4129899226,-885843.443294161,,,,,0.0457917,,0
71,72,-6,-576861.4269176363,-885843.443294161,,,,,0.0,,0
72,73,-5,-566883.44084535,-885843.443294161,,,,,0.0026728,,0
73,74,-1,-556905.4547730638,-885843.443294161,,,,,0.0029162,,0
74,75,-1,-546927.4687007775,-885843.443294161,,,,,0.0002298,,0
75,76,-10,-536949.4826284912,-885843.443294161,,,,,0.0,,0
76,77,-3,-526971.496556205,-885843.443294161,,,,,9.03e-05,,0
77,78,-1,-516993.5104839187,-885843.443294161,,,,,,,0
78,79,1,-507015.5244116325,-885843.443294161,,,,,,,0
79,80,0,-497037.5383393462,-885843.443294161,,,,,,,0
80,81,-7,-487059.5522670599,-885843.443294161,,,,,,,0
81,82,-1,-477081.56619477365,-885843.443294161,,,,,,,0
82,83,0,-467103.5801224874,-885843.443294161,,,,,,,0
83,84,0,-457125.5940502011,-885843.443294161,,,,,,,0
84,85,0,-447147.60797791486,-885843.443294161,,,,,,,0
85,86,-1,-437169.62190562853,-885843.443294161,,,,,,,0
86,87,-2,-427191.6358333421,-885843.443294161,,,,,,,0
87,88,-1,-417213.6497610558,-885843.443294161,,,,,,,0
88,89,-1,-407235.6636887696,-885843.443294161,,,,,,,0
89,90,-3,-397257.6776164833,-885843.443294161,,,,,,,0
90,91,-6,-387279.691544197,-885843.443294161,,,,,,,0
91,92,-5,-377301.7054719108,-885843.443294161,,,,,,,0
92,93,-1,-367323.7193996245,-885843.443294161,,,,,,,0
93,94,-1,-357345.73332733824,-885843.443294161,,,,,,,0
94,95,0,-347367.747255052,-885843.443294161,,,,,,,0
95,96,1,-337389.76118276565,-885843.443294161,,,,,,,0
96,97,1,-327411.77511047944,-885843.443294161,,,,,,,0
97,98,0,-317433.7890381932,-885843.443294161,,,,,,,0
98,99,-1,-307455.80296590686,-885843.443294161,,,,,,,0
